NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S9AA-0082272610,2078692933,CLIENT_00993,72356185,353361306,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,56.29,10.14,66.43,False,66.43,1,False,0.0,66.43,0.0,True,CONCILIADA_EXACTA,True
S7AA-0067078493,2039728300,CLIENT_00575,10215575,273905173,FACTURACION CICLICA,AMDOCS,2026-05-23,2026-06-09,PEN,33.75,6.08,39.83,False,39.83,1,False,0.0,39.83,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007872311,2082639572,CLIENT_00284,697374231,179918557,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,26.4,4.75,31.15,False,31.15,1,False,0.0,31.15,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007766858,2090597659,CLIENT_00606,509664721,717790847,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,66.26,11.93,78.19,False,78.19,1,False,0.0,78.19,0.0,True,CONCILIADA_EXACTA,True
S8AA-0008044159,2005357307,CLIENT_00223,619846321,40684547,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,43.25,7.78,51.03,False,51.03,1,False,0.0,51.03,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007606060,2084384500,CLIENT_00932,348670421,589093457,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,65.2,11.73,76.93,False,76.93,1,False,0.0,76.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007641443,2086851615,CLIENT_00905,455932421,976083247,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,40.05,7.2,47.25,False,47.25,1,False,0.0,47.25,0.0,True,CONCILIADA_EXACTA,True
S8AA-0008099788,2095839381,CLIENT_00231,433723521,437853447,FACTURACION CICLICA,AMDOCS,2026-06-27,2026-07-13,PEN,59.26,10.67,69.93,False,69.93,1,False,0.0,69.93,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007591360,2002866357,CLIENT_00707,833798331,800712857,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,100.79,18.14,118.93,False,118.93,1,False,0.0,118.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081945796,2093830022,CLIENT_00544,98001806,151528506,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,81.56,14.69,96.25,False,96.25,1,False,0.0,96.25,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081821679,2082156443,CLIENT_00237,478999431,480988957,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,30.02,5.4,35.42,False,35.42,1,False,0.0,35.42,0.0,True,CONCILIADA_EXACTA,True
